A1_A113 C3_B148
A1_A140 B6_A730
A1_A143 A1_A370
A1_A143 A1_A370
A1_A148 B1_B508
A1_A150 A2_C269
A1_A17 A4_A186
A1_A261 A4_A586
A1_A300 A7_C902
A1_A332 B5_C973
A1_A351 B2_B157
A1_A486 A5_B920
A1_A504 A6_A736
A1_A518 A6_B659
A1_A554 A1_A509
A1_A558 C6_A998
A1_A589 A5_B61
A1_A590 A2_B318
A1_A681 C6_A99
A1_A681 D5_A546
A1_A71 A7_A591
A1_A797 D4_B82
A1_A854 D1_C479
A1_A857 C5_A3
A1_A857 C5_A3
A1_A859 C7_B108
A1_A871 D5_A14
A1_A889 B2_A832
A1_A90 A2_A930
A1_A924 C2_A2
A1_A94 A5_A48
A1_A968 A6_A60
A1_B171 C1_B319
A1_B258 C1_B279
A1_B258 C1_B279
A1_B28 C4_B149
A1_B289 D2_B419
A1_B304 A3_A394
A1_B327 C7_B452
A1_B337 C1_A869
A1_B347 B6_C779
A1_B358 B4_B715
A1_B380 C4_A36
A1_B459 D3_B128
A1_B549 A7_B68
A1_B590 D6_B923
A1_B603 A3_C906
A1_B648 B5_B827
A1_B669 C5_B368
A1_B693 D4_C247
A1_B735 B7_C893
A1_B740 B7_C801
A1_B790 C1_B339
A1_B816 B2_A904
A1_B844 D1_A344
A1_B87 A2_A339
A1_B87 A2_A339
A1_B871 D7_B3
A1_B909 A2_C108
A1_B944 B7_B739
A1_B958 D4_C703
A1_C169 D1_C378
A1_C186 A5_C182
A1_C205 B7_A234
A1_C208 A1_C781
A1_C216 A1_C287
A1_C216 A1_C287
A1_C22 B5_A121
A1_C246 B2_A154
A1_C306 C4_A195
A1_C360 D6_C405
A1_C365 B3_C988
A1_C366 B4_C909
A1_C383 A4_C343
A1_C421 A6_C644
A1_C486 C1_A515
A1_C497 B2_A797
A1_C508 D5_B504
A1_C509 C3_B462
A1_C519 B3_A497
A1_C552 B4_A406
A1_C557 D2_C882
A1_C558 D2_C639
A1_C564 C6_C173
A1_C564 C6_C173
A1_C587 A5_A362
A1_C591 A4_C66
A1_C615 D6_C631
A1_C663 D4_C721
A1_C681 A1_C753
A1_C72 D1_A902
A1_C789 D3_C886
A1_C793 C6_C978
A1_C793 C6_C978
A1_C817 A7_C845
A1_C827 D6_C408
A1_C909 A3_C486
A1_C911 B6_C24
A1_C929 A2_B803
A1_C964 D6_C167
A1_C968 C1_B296
A1_C975 A6_A936
A1_C985 D7_C45
A2_A178 A7_C186
A2_A218 A3_C257
A2_A240 D7_C912
A2_A287 B5_A781
A2_A326 A3_C663
A2_A354 A3_A110
A2_A367 C6_A965
A2_A367 D1_B65
A2_A428 A5_A501
A2_A480 A6_C452
A2_A519 C7_C648
A2_A585 B3_C246
A2_A606 C1_B77
A2_A637 A2_A470
A2_A651 A7_A670
A2_A656 A7_C810
A2_A677 A5_A94
A2_A69 D4_B735
A2_A709 C3_C902
A2_A729 B5_B153
A2_A742 D4_C140
A2_A757 D3_A667
A2_A819 B3_B990
A2_B158 A5_B132
A2_B226 C6_A427
A2_B243 A1_C943
A2_B25 A6_A639
A2_B252 C7_B190
A2_B28 A6_C303
A2_B295 A4_B27
A2_B321 B5_B638
A2_B363 D3_B694
A2_B411 D5_C598
A2_B490 A4_B533
A2_B562 C6_B998
A2_B569 B4_C191
A2_B599 A5_B683
A2_B7 B1_A818
A2_B711 B7_C257
A2_B73 C7_B834
A2_B761 B7_B267
A2_B826 A3_C903
A2_B832 A5_B704
A2_B846 D7_B868
A2_B880 D1_A556
A2_B962 C7_B462
A2_C157 C3_C794
A2_C172 A3_A608
A2_C224 C7_C986
A2_C243 A4_A705
A2_C29 A6_A310
A2_C347 A2_B366
A2_C359 A4_C319
A2_C406 D3_C882
A2_C428 A4_A633
A2_C44 B6_C364
A2_C45 A3_B307
A2_C480 A1_A488
A2_C494 C4_A948
A2_C609 A2_C716
A2_C632 B6_B473
A2_C636 A1_C246
A2_C669 C6_A58
A2_C681 A4_C568
A2_C689 A6_C344
A2_C709 A5_C807
A2_C711 A3_C165
A2_C711 A3_C165
A2_C72 B5_A974
A2_C771 C1_A180
A2_C790 A6_C606
A2_C816 A2_C308
A2_C826 B2_C561
A2_C860 B4_C201
A2_C863 D5_A673
A2_C877 A7_A24
A2_C881 C3_A473
A2_C91 A5_C129
A2_C931 B1_B330
A2_C94 C4_C387
A2_C989 D1_A191
A3_A112 A1_C264
A3_A131 C1_C883
A3_A176 B3_B966
A3_A232 D5_A14
A3_A232 D5_A14
A3_A242 C2_A749
A3_A279 B3_A215
