A1_A13 A3_C220
A1_A151 A2_C587
A1_A261 A4_A586
A1_A387 C7_B881
A1_A421 C4_A703
A1_A46 A2_C935
A1_A51 B7_B439
A1_A596 B1_C723
A1_A677 A2_A367
A1_A71 A7_A591
A1_A889 B2_A832
A1_A928 A7_B193
A1_A94 A5_A48
A1_B101 A1_B46
A1_B134 B4_B612
A1_B146 C7_A837
A1_B258 C1_B279
A1_B337 C1_A869
A1_B373 A2_A672
A1_B459 D3_B128
A1_B459 D3_B128
A1_B590 D6_B923
A1_B623 C5_A667
A1_B654 A4_A398
A1_B740 B7_C801
A1_B87 A2_A339
A1_B87 A2_A339
A1_C114 B1_B440
A1_C119 D1_B944
A1_C162 B6_C665
A1_C186 A5_C182
A1_C216 A1_C287
A1_C257 C4_A693
A1_C409 C7_C390
A1_C558 D2_C639
A1_C562 A5_C105
A1_C564 C6_C173
A1_C585 C2_C504
A1_C594 D6_C361
A1_C630 A6_C838
A1_C663 D4_C721
A1_C759 C7_B462
A1_C817 A7_C845
A1_C845 B1_B215
A1_C911 B6_C24
A1_C997 C6_C543
A1_C997 D1_B748
A2_A241 A3_A987
A2_A25 D2_B885
A2_A330 D7_A612
A2_A470 D5_C240
A2_A474 D4_A865
A2_A504 B5_B618
A2_A605 C7_B856
A2_A63 A7_B420
A2_A637 A2_A470
A2_A651 A7_A670
A2_A661 C4_A861
A2_A729 B5_B153
A2_A819 B3_B990
A2_A825 A4_C105
A2_A871 C4_A706
A2_A875 D5_C192
A2_A882 D2_A426
A2_A938 C5_A957
A2_B158 A5_B132
A2_B160 D1_B771
A2_B202 A2_B887
A2_B257 B7_C978
A2_B295 A4_B27
A2_B49 D2_C148
A2_B490 A4_B533
A2_B642 B6_B766
A2_B73 C7_B834
A2_B804 C6_C820
A2_C10 A5_C200
A2_C224 C7_C986
A2_C253 A5_C127
A2_C278 B6_B937
A2_C29 A6_A310
A2_C304 C1_C2
A2_C365 A7_A494
A2_C406 D3_C882
A2_C453 C3_C785
A2_C681 A4_C568
A2_C711 A3_C165
A2_C721 A1_A996
A2_C727 D1_A975
A2_C745 C1_A4
A2_C790 A6_C606
A2_C790 A6_C606
A2_C865 C4_A951
A2_C900 C6_B484
A2_C91 A5_C129
A2_C955 A1_C845
A2_C989 D1_A191
A2_C994 B4_C606
A3_A120 B6_A656
A3_A161 A4_C15
A3_A253 D1_B801
A3_A257 B6_B404
A3_A321 B3_B358
A3_A455 B1_A127
A3_A493 D3_B700
A3_A493 D3_B700
A3_A600 A6_C28
A3_A61 A5_A338
A3_A61 A5_A338
A3_A656 D3_B954
A3_A666 A1_B499
A3_A668 B3_A410
