A7_C40 A5_B781
B2_C441 C7_C989
A5_A557 B7_C958
A1_B373 A2_A672
C1_B173 B7_A962
A5_A484 D5_A419
A1_C923 A6_B836
C6_C539 B3_C833
B7_B791 D7_B553
B4_B970 B6_A555
A6_B964 C2_A270
C5_A844 B4_B907
B6_B473 B2_B541
A2_B192 B5_A276
C7_B261 B6_C974
A3_B652 C4_A373
B2_C251 D3_A550
D5_C746 A4_A149
C3_A250 C6_C368
B1_A494 C2_A325
C1_C324 D2_B768
D3_C60 B1_C627
A2_C165 B3_A708
B6_C790 C2_C905
B6_A105 B7_C717
A5_B175 B4_B53
D5_A858 B4_C540
C6_C451 B1_C369
B5_A675 D2_C574
A2_C937 C4_A891
B2_B21 B3_B386
D3_A877 B5_C138
A5_B565 B3_A186
C3_B302 A1_C376
C3_A909 B1_B119
D7_A666 D1_A387
C3_A417 D7_B365
B7_A684 A2_A336
A1_B371 B1_A275
A7_A408 C1_B691
B4_B332 C2_A630
B3_A946 A7_B798
D6_C928 C3_B722
A1_B146 C7_A837
B3_C286 B5_B736
A4_C156 C3_C645
B4_C878 D2_A335
B7_B781 B2_A600
D6_A677 D4_C941
A3_C461 B1_A503
C3_B870 A2_C616
C5_C947 D6_B263
B5_A586 A3_A181
C5_C221 D3_A818
B7_C655 B7_B599
B3_C157 B3_B203
D3_C79 C6_C68
C4_A134 D3_B12
C4_C117 C4_B446
B7_B886 A4_B959
C7_C709 C7_A422
A2_C29 A6_A310
B2_C502 C1_B258
A5_A839 B2_B38
A2_A825 A4_C105
D5_B922 A1_A870
B6_C614 D7_C163
C7_C552 D1_A557
D7_A285 D5_A539
D7_A462 C5_C866
D5_C399 A1_A258
A6_C395 B2_B84
A1_B812 C7_C140
A7_A229 B7_A678
B2_B919 B2_B622
A3_C56 C7_B54
B1_B20 D2_B679
D3_A207 D5_C199
C1_B505 B4_B607
D6_B788 A5_A875
B5_C336 C6_B677
A1_A491 B7_C14
D5_C190 C2_A595
A3_C279 B5_B452
D2_C329 C1_A121
C7_B512 C5_A694
A1_B375 C5_B738
A3_B34 C3_A223
D5_B865 D7_A277
D2_B187 A5_C620
A3_B858 A1_B854
B7_B85 C5_B96
C1_C217 B5_C180
C4_B903 D5_C798
D5_B961 B1_B177
A2_C514 B6_A631
D1_A196 D4_B270
D7_C303 B6_A642
A5_C493 D5_A888
B6_A2 A5_C760
D6_C735 D4_A623
D7_B55 A2_B380
D5_A993 A1_A661
D7_A356 C4_A926
B2_A86 A2_C874
C6_A700 C1_A731
D5_B37 D7_A919
D2_A144 A2_C181
C1_C365 D5_C969
B3_A911 B5_C918
D1_B921 B6_C74
B1_B129 A6_C286
B6_B91 D3_A891
B3_C667 C5_B158
C7_A365 A4_A610
B1_A420 B2_C426
A4_B471 A5_A12
D2_A958 A5_B731
C7_A423 C5_C941
B1_B652 B3_A380
A1_A351 B2_B157
D3_B248 A2_B333
A2_C681 A4_C568
C7_A40 C2_A677
C1_B573 D5_C787
B3_B226 C1_C284
C5_A248 A2_B239
C4_C238 D3_B779
A4_B131 C4_A747
B6_C481 C7_A557
A5_B712 D4_A185
B3_B368 D6_A542
D6_A114 D5_A808
B3_A757 A3_B738
B2_C565 A4_C766
D6_B355 D4_A534
B6_C220 D6_A478
C5_C465 D2_A624
D1_B390 C6_A18
B1_C627 D4_B718
A3_B609 D3_B320
A6_C44 B3_B276
B4_A701 A2_B149
A7_C992 B7_C14
B5_B713 D1_A247
D4_A731 B1_C472
D5_C175 C4_B556
D6_B225 C1_A349
A4_A606 C2_A918
B6_B766 B6_C901
B2_B581 A2_B406
C6_C529 B4_B39
C2_C331 B5_A696
A4_C383 C6_A346
B4_B935 B5_C747
B4_B603 B5_C694
D2_A982 C3_C672
D1_C498 C2_B689
B4_C818 C2_B284
C3_C274 D2_C524
A6_A344 B7_A516
B5_B197 B7_A409
C1_A254 B2_B855
B4_C202 D7_A704
A6_B51 A3_C305
B3_C156 A6_A877
B5_C729 A2_B202
D7_A254 B1_A882
A3_A928 A1_B779
A5_C607 C1_B371
C7_C768 B6_A512
C3_A424 A3_B236
A5_B846 D4_A931
C2_A73 C3_B319
B7_C515 D1_B659
C5_B333 C4_A769
A2_A236 A5_C9
C6_B135 A7_C679
B1_C795 A4_C428
C5_C14 B1_B897
B3_A240 D5_C52
D6_A171 D1_B897
D6_C813 A6_B720
B4_A236 C1_B886
D1_A551 C4_C839
B7_B900 D1_C283
C1_A247 C5_B875
D1_B392 C7_B829
C2_B86 A3_C374
C2_C78 C4_A435
C1_A966 B3_A356
A7_A594 D3_C37
C2_B115 B1_C24
B5_C250 B6_A801
A5_A631 C1_C900
C1_B604 A5_A337
D2_C412 B3_C446
D4_B279 A6_B677
D1_A728 D3_C810
B1_B656 C3_C94
D4_B39 C1_B411
A4_B935 D7_C737
A6_B501 A6_A492
A4_A49 C2_B875
A4_B854 C6_C143
C6_B976 B1_A249
C2_B8 C3_A478
C5_A567 B5_C534
A1_B654 A4_A398
D4_A230 A1_A18
B4_A654 C1_B553
C1_B287 A4_A961
A3_C794 A5_B33
B3_A188 D2_B892
C2_C516 B1_B598
D3_A41 D2_B435
B3_A661 C3_A381
A1_B743 D6_C809
D1_A774 B7_B350
B4_B313 A1_A536
B5_B674 C7_C503
A7_A175 B6_C226
B3_B636 A1_A19
C3_B392 D3_C160
D4_B624 D1_C2
C6_B628 D2_B897
D2_A95 C6_B555
D1_A578 A2_B867
D5_B220 B4_C464
D1_B644 A7_B721
C5_C367 B1_B829
D6_C536 C5_B607
B6_A803 A1_B76
B6_A160 C1_A230
B1_C959 B5_A331
C4_A756 B5_A237
A4_C946 B2_C945
D3_C751 A1_C967
B2_A264 A5_A998
C3_C542 D6_C998
B1_B556 A3_A440
A7_B118 C1_B105
C2_B145 B4_B55
B7_A988 C5_B184
A7_B229 B2_B100
C4_C480 B4_C164
D5_B677 B5_C941
D3_C8 B1_C5
D7_A322 B6_A667
D1_A260 A6_C648
C3_A735 C3_C28
D3_C866 C4_B972
B6_C708 A6_A718
D6_C991 D1_A82
A5_A704 D5_B962
D1_A519 C7_A876
C2_B996 B7_C960
B5_B271 A6_C331
C5_B465 A6_A948
C5_C248 B5_C196
C6_B18 D7_B683
D3_B358 A1_C550
C4_A304 D5_C168
C3_B650 D6_C621
B1_B73 A7_B59
B7_A148 D4_B820
A3_C548 C7_C980
C2_A456 D7_C840
C1_B575 C1_A124
C4_A163 A3_A296
D1_A122 C1_A286
C2_B76 B7_C442
A5_B71 C5_A502
B4_A212 D2_B245
A6_B994 D6_B572
C4_A181 D6_B734
D1_C160 B6_A688
D5_A925 B7_B968
C7_C343 B1_C218
C7_B234 A6_B643
D7_C653 A3_C623
C3_B203 A6_A424
A4_C574 D6_A654
D5_A674 A7_B544
B4_C540 C3_C686
D6_B848 D3_C201
C3_B19 A1_B387
B6_C987 D4_C661
D5_A54 A3_B16
A3_B817 C5_B693
B2_C677 A5_B573
D6_C529 D1_B909
A5_A477 C6_B677
D2_B96 A2_C353
B4_B335 B1_B955
D4_B970 B5_B657
D5_C704 A6_C690
D5_B889 A7_A693
C1_B152 B1_C936
A2_C300 A1_C653
C3_A31 C1_C550
D2_C337 A2_C249
D6_A386 B5_C919
D4_B149 D2_C35
C1_C253 B4_A947
C2_C798 A4_A969
D6_B230 A6_A286
B3_C802 D1_B41
D2_C924 C3_C167
D7_B865 A7_A189
D6_A517 C4_A492
A6_A705 B2_A825
B6_B905 B4_A588
C4_B504 A7_C829
C7_B178 D3_B146
D2_B631 C6_B899
A4_A602 B2_A601
A2_B257 B7_C978
C5_B7 A3_B855
D3_C713 B2_A324
A3_A760 D4_C373
D3_B203 C5_B223
C7_C636 D4_A725
A2_A62 A3_C3
A4_B978 C7_C382
D3_C789 B1_B264
B2_C455 A1_A81
A7_A897 C5_C72
C6_C254 A3_C405
D6_C256 C5_C840
A1_C414 C2_B634
C1_B125 B1_C261
B5_A734 B6_A12
C3_C440 B5_B516
B7_C93 B3_B800
C1_A92 D2_B935
D6_C584 D4_C192
D5_A96 B3_A740
D7_B672 D7_B58
B6_A665 C5_C764
A4_B448 A6_A715
D3_B908 D2_C857
B6_B879 B4_A672
A3_B432 D7_B653
D3_A536 B7_B394
A1_B358 B4_B715
A6_B779 D3_C267
C2_B166 C7_A338
B4_B587 B6_C663
C7_C436 A6_A974
B2_B727 A7_A515
C6_C689 B1_A472
D4_A946 A2_C320
D2_B267 B7_C164
D4_B391 B5_C497
A5_C526 D4_A570
A7_C498 D1_C373
A3_C297 A3_A817
C4_C51 A2_A725
C4_B106 A4_A23
B1_C722 A7_A669
D3_B444 A4_C132
C6_B183 C7_A122
A5_B4 C5_C475
B4_A226 B1_A226
C5_C401 C5_A877
C2_B438 C7_A733
C5_A278 A5_A851
B3_B578 A4_C4
B1_B446 B6_B345
D2_B324 A1_B545
C5_C575 B5_A35
B1_A161 B2_B158
C2_C395 A2_B49
C1_C724 C5_A38
A2_B612 C5_C166
A4_A808 A7_B842
B2_C578 C2_B529
B4_C971 D3_B318
C5_B945 B2_A727
C4_B311 A4_A364
A2_B140 A3_A485
B2_B539 A7_A956
B2_B903 A3_A762
C6_C501 B7_B344
C5_A280 D7_C218
A5_B518 A7_C228
B3_C777 C4_B386
C2_A937 B3_C827
D2_A865 B5_A173
C1_A517 D7_B779
A7_B553 D2_B140
B7_C257 C1_C875
C3_A412 A5_C435
A1_A421 C4_A703
B3_A717 D1_B941
D7_C302 D5_A107
A3_C56 B5_B138
B1_A655 B4_A145
B3_B961 D1_A823
A1_B99 A2_C0
A6_A624 B1_C245
B1_B74 D7_A446
A2_A620 B3_B145
C2_B627 A4_B748
A5_C325 A2_A869
A1_A402 D2_B453
B6_B300 C3_C478
A7_C887 C3_C346
C2_B69 B4_A354
C1_A599 A4_A832
B1_A405 B7_C838
C6_B711 A2_A790
A5_A367 D2_C29
B7_C969 A5_A666
D1_A871 B6_C79
C6_C973 A4_A857
C7_B36 A2_C293
D5_A942 A7_A710
C7_C394 B2_C142
C1_A199 D5_C478
B1_A442 C4_C314
C6_C331 C7_A153
D4_A809 C5_B733
C6_B161 C6_C727
B2_A946 B3_C111
D5_C823 D5_B516
A5_B277 D2_B331
B2_B78 B3_A344
B2_C745 A4_A104
D2_C210 B5_A20
B6_C77 C3_A643
D4_C224 C2_C443
B4_C606 C6_B441
D5_B917 B4_A157
A6_C998 C5_C458
B1_A711 D4_C71
A6_C449 A7_A295
A5_B509 A3_B143
D4_B755 A7_A188
A2_C774 B2_C181
A4_B163 C5_A797
C2_B794 B3_B367
D5_A982 D6_B742
A5_C214 B6_C233
D1_B479 B2_A492
D2_B1 C7_A107
B4_B106 D2_B230
D2_A835 B6_C550
C5_A408 C3_A466
C2_B988 B3_B550
D7_B860 D5_C241
B6_A862 C2_B716
A3_A829 D2_C937
A3_A849 D1_B41
C3_B283 D7_A753
D6_A13 B4_B571
D7_C546 A5_C667
B3_C375 B4_A170
B5_B599 C1_B509
B5_B366 C2_B868
B3_B461 C3_B815
D7_A858 B6_C373
A7_A557 B2_C213
D1_A957 B5_B546
B6_B36 B6_C980
A6_A859 A2_B186
C2_C627 B6_B775
C5_C904 A4_B2
C4_B700 D2_B588
A6_B363 B5_C762
A5_A543 A1_C288
C5_C239 B7_B449
D6_C697 D5_C939
C2_C747 A3_A991
B7_C431 B1_C768
A4_A306 B5_A208
A1_C655 B5_A218
B2_B600 A7_A809
A6_C217 B3_A346
C3_B795 D4_B843
D6_A989 B4_B107
B6_C578 C5_B894
C5_A233 A6_C471
B5_B503 C3_A103
B2_B635 C2_B829
C6_C635 A5_A562
D3_B934 B6_B147
D2_A67 B5_B841
A6_B826 D6_B440
B6_A322 D3_C472
C1_C306 B3_B777
D7_C29 C7_A235
C5_B256 C4_C611
D2_A433 A5_A119
D4_A798 D2_C184
B1_B804 D1_C518
B4_B870 A7_C495
D2_C267 B3_A71
B3_A364 C6_C161
D4_B792 C3_A325
A1_B304 A3_A394
D4_A342 A1_A403
A2_C552 C2_B451
B6_C181 D5_C540
C2_C211 D5_B554
A4_C692 D4_C740
A5_C793 B5_B793
C1_B727 D2_A418
C2_C95 B5_A483
C3_C350 B2_C98
C5_A196 B2_B502
A7_B667 C6_A310
A3_C104 A3_A693
C4_C76 A5_C462
