C2_B230 D7_B344
D3_C883 D5_C951
B4_A678 B2_A704
A7_B308 B2_B474
B1_C771 A2_C46
C2_C282 C3_C252
D5_C68 D4_C810
D7_A715 D2_A691
D1_A255 D1_A68
D1_C620 D3_C848
C1_C791 D6_C759
C2_C267 C5_C37
C2_C44 C4_C589
B3_C140 B5_C290
A1_B459 D3_B128
D2_A861 D6_A387
C7_B741 C2_B839
A3_A666 A1_B499
D2_A85 D1_A178
D7_C384 C2_C412
D6_A986 B2_A219
B1_B51 C2_B543
A7_C932 A3_C989
C7_A486 C3_A240
D3_B355 D3_B407
C5_A475 C3_A309
C5_B411 C2_B683
B5_A241 B1_A441
A5_C662 D7_B550
C1_C902 C2_C565
B5_A671 B5_A833
A3_A455 B1_A127
A3_B869 A3_B520
A1_C911 B6_C24
D6_C46 C6_C32
B2_B410 B1_A212
A4_B926 A2_B895
B5_B45 B3_B551
B7_B707 B6_C550
C3_B42 B6_B331
C7_B122 C1_B468
B4_B5 B5_B346
B2_A232 B4_A61
A6_B662 A6_B109
B6_C495 C4_C525
B3_C67 B1_C56
C1_B386 C2_B276
D1_C124 C3_C45
A7_A646 A1_A459
B4_C375 D5_C491
A6_A549 C7_A478
A4_C745 C4_B629
D3_B862 D2_B35
A1_C663 D4_C721
D1_C1 C5_C438
C6_B24 C7_B323
D3_A5 C4_A784
B6_C251 C4_C537
A4_B469 A3_B421
A1_C594 D6_C361
B2_B263 B6_B244
D4_C220 A7_C946
D6_C106 B4_C217
B3_B680 A7_A541
A7_B564 A2_B351
A4_B145 A1_B317
D4_B503 A1_B975
A1_A401 A4_A412
B5_A401 B2_A284
A4_B950 A2_B941
D4_A214 D2_A656
D3_B809 B4_B492
C6_C169 B6_C315
D3_B865 D7_B120
A2_A933 B6_A964
D1_A942 D2_A302
A7_B286 A4_B995
B4_B497 B3_B254
C7_A975 C6_A445
B4_A99 A4_A144
D6_B854 C6_B811
A2_B490 A4_B533
C1_B662 C5_B200
A3_B180 A6_A20
D2_C678 D1_C565
A6_B469 A2_B885
A6_A709 D5_B636
C7_B477 C6_B150
B3_B688 B1_B429
B2_B729 D4_B677
B5_B613 A5_B767
D6_B923 A7_B949
C4_B509 C4_C588
C3_A885 A6_A633
A7_B122 A6_B932
